Time	Temperature	Humidity
[Red - 1/1]	°C	%RH
2021-06-28 10:00:00	21,00	60,89
2021-06-28 10:10:00	21,32	58,78
2021-06-28 10:20:00	21,65	61,16
2021-06-28 10:30:00	22,15	55,71
2021-06-28 10:40:00	22,74	54,45
2021-06-28 10:50:00	23,14	53,69
2021-06-28 11:00:00	23,63	55,96
2021-06-28 11:10:00	24,51	54,45
2021-06-28 11:20:00	25,45	46,89
2021-06-28 11:30:00	25,92	45,88
2021-06-28 11:40:00	26,11	45,63
2021-06-28 11:50:00	26,10	44,87
2021-06-28 12:00:00	25,98	44,63
2021-06-28 12:10:00	25,82	48,15
2021-06-28 12:20:00	26,22	47,90
2021-06-28 12:30:00	25,16	43,91
2021-06-28 12:40:00	22,38	54,45
2021-06-28 12:50:00	21,06	54,70
2021-06-28 13:00:00	20,60	57,22
2021-06-28 13:10:00	20,32	58,52
2021-06-28 13:20:00	19,85	58,52
2021-06-28 13:30:00	19,84	59,05
2021-06-28 13:40:00	20,08	57,22
2021-06-28 13:50:00	19,79	60,37
2021-06-28 14:00:00	20,07	59,57
2021-06-28 14:10:00	19,87	59,84
2021-06-28 14:20:00	19,72	60,63
2021-06-28 14:30:00	20,07	59,84
2021-06-28 14:40:00	20,07	60,10
2021-06-28 14:50:00	19,89	61,16
2021-06-28 15:00:00	19,96	60,37
2021-06-28 15:10:00	20,02	61,42
2021-06-28 15:20:00	20,41	60,89
2021-06-28 15:30:00	20,52	60,63
2021-06-28 15:40:00	20,77	59,84
2021-06-28 15:50:00	21,01	58,52
2021-06-28 16:00:00	21,23	58,25
2021-06-28 16:10:00	20,82	60,63
2021-06-28 16:20:00	20,39	60,89
2021-06-28 16:30:00	20,33	61,68
2021-06-28 16:40:00	20,26	60,63
2021-06-28 16:50:00	20,20	61,42
2021-06-28 17:00:00	20,46	60,10
2021-06-28 17:10:00	20,26	60,63
2021-06-28 17:20:00	19,84	62,21
2021-06-28 17:30:00	19,80	62,21
2021-06-28 17:40:00	19,46	63,80
2021-06-28 17:50:00	19,40	61,68
2021-06-28 18:00:00	19,43	62,48
2021-06-28 18:10:00	19,31	62,21
2021-06-28 18:20:00	19,08	64,85
2021-06-28 18:30:00	18,93	67,49
2021-06-28 18:40:00	18,96	68,55
2021-06-28 18:50:00	18,94	68,55
2021-06-28 19:00:00	18,71	69,34
2021-06-28 19:10:00	18,58	69,08
2021-06-28 19:20:00	18,46	69,60
2021-06-28 19:30:00	18,35	72,56
2021-06-28 19:40:00	17,67	76,70
2021-06-28 19:50:00	17,11	78,63
2021-06-28 20:00:00	16,75	80,01
2021-06-28 20:10:00	16,44	80,84
2021-06-28 20:20:00	16,12	82,49
2021-06-28 20:30:00	15,88	83,32
2021-06-28 20:40:00	15,58	84,70
2021-06-28 20:50:00	15,50	84,70
2021-06-28 21:00:00	15,42	84,97
2021-06-28 21:10:00	15,29	85,53
2021-06-28 21:20:00	15,20	86,10
2021-06-28 21:30:00	15,09	86,10
2021-06-28 21:40:00	15,01	86,39
2021-06-28 21:50:00	14,93	87,26
2021-06-28 22:00:00	14,87	87,54
2021-06-28 22:10:00	14,79	87,26
2021-06-28 22:20:00	14,71	87,54
2021-06-28 22:30:00	14,67	87,83
2021-06-28 22:40:00	14,61	88,41
2021-06-28 22:50:00	14,57	88,12
2021-06-28 23:00:00	14,60	87,83
2021-06-28 23:10:00	14,68	87,26
2021-06-28 23:20:00	14,76	86,97
2021-06-28 23:30:00	14,80	87,26
2021-06-28 23:40:00	14,86	86,97
2021-06-28 23:50:00	14,94	86,10
2021-06-29 00:00:00	15,01	85,82
2021-06-29 00:10:00	15,02	85,53
2021-06-29 00:20:00	14,96	85,53
2021-06-29 00:30:00	14,87	86,39
2021-06-29 00:40:00	14,90	86,10
2021-06-29 00:50:00	15,00	85,53
2021-06-29 01:00:00	15,08	85,25
2021-06-29 01:10:00	15,17	84,70
2021-06-29 01:20:00	15,23	84,42
2021-06-29 01:30:00	15,24	84,15
2021-06-29 01:40:00	15,22	84,42
2021-06-29 01:50:00	15,19	84,15
2021-06-29 02:00:00	15,17	83,87
2021-06-29 02:10:00	15,07	82,49
2021-06-29 02:20:00	14,96	82,21
2021-06-29 02:30:00	14,86	83,04
2021-06-29 02:40:00	14,69	83,32
2021-06-29 02:50:00	14,56	83,32
2021-06-29 03:00:00	14,39	83,32
2021-06-29 03:10:00	14,14	83,87
2021-06-29 03:20:00	13,98	84,70
2021-06-29 03:30:00	13,88	85,25
2021-06-29 03:40:00	13,82	85,82
2021-06-29 03:50:00	13,79	86,10
2021-06-29 04:00:00	13,74	85,82
2021-06-29 04:10:00	13,66	86,39
2021-06-29 04:20:00	13,66	86,97
2021-06-29 04:30:00	13,70	86,97
2021-06-29 04:40:00	13,83	86,97
2021-06-29 04:50:00	13,97	86,39
2021-06-29 05:00:00	14,11	86,10
2021-06-29 05:10:00	14,32	84,70
2021-06-29 05:20:00	14,50	84,15
2021-06-29 05:30:00	14,65	82,49
2021-06-29 05:40:00	14,83	81,39
2021-06-29 05:50:00	15,11	80,28
2021-06-29 06:00:00	15,46	77,80
2021-06-29 06:10:00	15,66	76,97
2021-06-29 06:20:00	15,62	76,97
2021-06-29 06:30:00	15,71	76,70
2021-06-29 06:40:00	15,64	76,42
2021-06-29 06:50:00	15,55	75,60
2021-06-29 07:00:00	15,54	75,32
2021-06-29 07:10:00	15,58	76,42
2021-06-29 07:20:00	15,80	75,87
2021-06-29 07:30:00	15,96	73,94
2021-06-29 07:40:00	16,09	72,01
2021-06-29 07:50:00	16,19	73,11
2021-06-29 08:00:00	16,53	70,66
2021-06-29 08:10:00	16,78	69,34
2021-06-29 08:20:00	17,04	67,76
2021-06-29 08:30:00	17,18	67,49
2021-06-29 08:40:00	17,00	65,91
2021-06-29 08:50:00	16,95	67,49
2021-06-29 09:00:00	16,93	68,28
2021-06-29 09:10:00	16,94	67,76
2021-06-29 09:20:00	17,14	68,02
2021-06-29 09:30:00	17,20	65,91
2021-06-29 09:40:00	17,69	64,85
2021-06-29 09:50:00	17,74	61,16
2021-06-29 10:00:00	18,06	59,84
2021-06-29 10:10:00	18,20	59,84
2021-06-29 10:20:00	18,49	62,74
2021-06-29 10:30:00	18,81	60,10
2021-06-29 10:40:00	19,11	60,89
2021-06-29 10:50:00	18,92	61,68
2021-06-29 11:00:00	19,13	62,48
2021-06-29 11:10:00	19,50	58,78
2021-06-29 11:20:00	19,52	54,70
2021-06-29 11:30:00	19,20	56,47
2021-06-29 11:40:00	19,00	61,16
2021-06-29 11:50:00	19,65	55,21
2021-06-29 12:00:00	19,94	54,70
2021-06-29 12:10:00	20,37	55,96
2021-06-29 12:20:00	20,64	56,97
2021-06-29 12:30:00	20,28	58,25
2021-06-29 12:40:00	20,20	60,10
2021-06-29 12:50:00	19,57	62,48
2021-06-29 13:00:00	19,80	60,10
2021-06-29 13:10:00	19,57	61,16
2021-06-29 13:20:00	19,23	61,95
2021-06-29 13:30:00	19,27	60,10
2021-06-29 13:40:00	19,32	58,25
2021-06-29 13:50:00	19,50	56,72
2021-06-29 14:00:00	19,91	55,71
2021-06-29 14:10:00	20,05	54,20
2021-06-29 14:20:00	20,05	54,20
2021-06-29 14:30:00	19,66	53,19
2021-06-29 14:40:00	19,95	56,22
2021-06-29 14:50:00	20,30	52,94
2021-06-29 15:00:00	20,30	50,67
2021-06-29 15:10:00	20,79	50,42
2021-06-29 15:20:00	20,56	51,43
2021-06-29 15:30:00	20,50	50,67
2021-06-29 15:40:00	20,77	49,41
2021-06-29 15:50:00	20,99	48,91
2021-06-29 16:00:00	20,24	52,69
2021-06-29 16:10:00	19,99	53,44
2021-06-29 16:20:00	19,76	54,96
2021-06-29 16:30:00	19,64	55,46
2021-06-29 16:40:00	19,49	56,97
2021-06-29 16:50:00	19,33	60,10
2021-06-29 17:00:00	19,22	60,10
2021-06-29 17:10:00	19,04	61,68
2021-06-29 17:20:00	18,88	62,21
2021-06-29 17:30:00	18,58	63,53
2021-06-29 17:40:00	18,65	63,27
2021-06-29 17:50:00	18,77	63,53
2021-06-29 18:00:00	18,82	63,53
2021-06-29 18:10:00	18,70	65,64
2021-06-29 18:20:00	18,75	66,17
2021-06-29 18:30:00	18,73	65,64
2021-06-29 18:40:00	18,63	67,23
2021-06-29 18:50:00	18,43	68,55
2021-06-29 19:00:00	18,36	69,34
2021-06-29 19:10:00	18,28	69,60
2021-06-29 19:20:00	18,26	70,13
2021-06-29 19:30:00	18,25	69,87
2021-06-29 19:40:00	18,27	69,34
2021-06-29 19:50:00	18,39	68,55
2021-06-29 20:00:00	18,33	68,55
2021-06-29 20:10:00	18,29	69,34
2021-06-29 20:20:00	18,25	70,13
2021-06-29 20:30:00	18,23	70,66
2021-06-29 20:40:00	18,15	72,29
2021-06-29 20:50:00	18,07	74,77
2021-06-29 21:00:00	17,98	75,60
2021-06-29 21:10:00	17,78	76,70
2021-06-29 21:20:00	17,63	77,53
2021-06-29 21:30:00	17,39	78,63
2021-06-29 21:40:00	17,05	80,01
2021-06-29 21:50:00	16,79	80,56
2021-06-29 22:00:00	16,62	81,11
2021-06-29 22:10:00	16,52	81,94
2021-06-29 22:20:00	16,40	82,49
2021-06-29 22:30:00	16,35	82,21
2021-06-29 22:40:00	16,25	82,77
2021-06-29 22:50:00	16,08	83,32
2021-06-29 23:00:00	15,95	83,59
2021-06-29 23:10:00	15,84	84,15
2021-06-29 23:20:00	15,72	84,70
2021-06-29 23:30:00	15,63	85,25
2021-06-29 23:40:00	15,57	84,97
2021-06-29 23:50:00	15,50	85,25
2021-06-30 00:00:00	15,29	86,39
2021-06-30 00:10:00	15,16	86,97
2021-06-30 00:20:00	15,06	87,26
2021-06-30 00:30:00	14,94	87,54
2021-06-30 00:40:00	14,80	88,12
2021-06-30 00:50:00	14,63	88,41
2021-06-30 01:00:00	14,43	88,98
2021-06-30 01:10:00	14,24	88,69
2021-06-30 01:20:00	14,13	89,27
2021-06-30 01:30:00	13,97	89,27
2021-06-30 01:40:00	13,92	89,27
2021-06-30 01:50:00	13,87	89,84
2021-06-30 02:00:00	13,80	90,13
2021-06-30 02:10:00	13,71	90,71
2021-06-30 02:20:00	13,64	91,28
2021-06-30 02:30:00	13,60	91,00
2021-06-30 02:40:00	13,61	91,00
2021-06-30 02:50:00	13,64	91,00
2021-06-30 03:00:00	13,67	90,42
2021-06-30 03:10:00	13,75	89,84
2021-06-30 03:20:00	13,73	90,71
2021-06-30 03:30:00	13,63	90,71
2021-06-30 03:40:00	13,61	90,71
2021-06-30 03:50:00	13,55	91,00
2021-06-30 04:00:00	13,48	91,00
2021-06-30 04:10:00	13,51	89,84
2021-06-30 04:20:00	13,60	89,27
2021-06-30 04:30:00	13,59	89,27
2021-06-30 04:40:00	13,56	89,27
2021-06-30 04:50:00	13,49	89,84
2021-06-30 05:00:00	13,42	89,84
2021-06-30 05:10:00	13,36	89,84
2021-06-30 05:20:00	13,26	90,42
2021-06-30 05:30:00	13,31	89,56
2021-06-30 05:40:00	13,37	89,84
2021-06-30 05:50:00	13,50	89,27
2021-06-30 06:00:00	13,67	88,98
2021-06-30 06:10:00	13,87	88,41
2021-06-30 06:20:00	14,12	87,54
2021-06-30 06:30:00	14,30	86,10
2021-06-30 06:40:00	14,49	84,70
2021-06-30 06:50:00	14,71	82,49
2021-06-30 07:00:00	15,03	80,01
2021-06-30 07:10:00	15,49	76,15
2021-06-30 07:20:00	15,96	73,66
2021-06-30 07:30:00	16,29	73,39
2021-06-30 07:40:00	16,66	71,46
2021-06-30 07:50:00	16,95	71,73
2021-06-30 08:00:00	17,22	71,46
2021-06-30 08:10:00	17,54	70,92
2021-06-30 08:20:00	17,79	71,46
2021-06-30 08:30:00	18,05	72,01
2021-06-30 08:40:00	18,15	72,01
2021-06-30 08:50:00	18,23	72,01
2021-06-30 09:00:00	18,54	70,40
2021-06-30 09:10:00	18,68	69,60
2021-06-30 09:20:00	18,83	68,28
2021-06-30 09:30:00	19,04	67,49
2021-06-30 09:40:00	19,38	66,44
2021-06-30 09:50:00	19,65	65,64
2021-06-30 10:00:00	20,25	63,27
2021-06-30 10:10:00	20,44	63,53
2021-06-30 10:20:00	20,59	62,48
2021-06-30 10:30:00	21,07	60,63
2021-06-30 10:40:00	21,49	58,78
2021-06-30 10:50:00	21,84	58,78
2021-06-30 11:00:00	21,59	59,31
2021-06-30 11:10:00	21,87	57,22
2021-06-30 11:20:00	22,06	55,71
2021-06-30 11:30:00	22,51	54,20
2021-06-30 11:40:00	22,82	52,43
2021-06-30 11:50:00	23,44	52,43
2021-06-30 12:00:00	23,39	53,44
2021-06-30 12:10:00	22,93	57,73
2021-06-30 12:20:00	22,38	56,97
2021-06-30 12:30:00	22,79	54,70
2021-06-30 12:40:00	22,72	55,46
2021-06-30 12:50:00	22,72	55,21
2021-06-30 13:00:00	22,75	54,20
2021-06-30 13:10:00	22,36	57,73
2021-06-30 13:20:00	22,44	55,96
2021-06-30 13:30:00	21,93	58,78
2021-06-30 13:40:00	22,06	57,73
2021-06-30 13:50:00	21,76	57,99
2021-06-30 14:00:00	21,71	58,25
2021-06-30 14:10:00	21,55	60,10
2021-06-30 14:20:00	21,35	59,05
2021-06-30 14:30:00	21,40	59,84
