Time	Temperature	Humidity
[Red - 1/1]	°C	%RH
2021-06-14 09:39:00	21,88	58,69
2021-06-14 09:49:00	21,94	55,83
2021-06-14 09:59:00	21,95	55,57
2021-06-14 10:09:00	21,95	55,83
2021-06-14 10:19:00	21,98	56,09
2021-06-14 10:29:00	22,00	60,85
2021-06-14 10:39:00	22,12	55,06
2021-06-14 10:49:00	22,10	55,06
2021-06-14 10:59:00	22,10	55,06
2021-06-14 11:09:00	22,10	54,54
2021-06-14 11:19:00	22,08	54,54
2021-06-14 11:29:00	22,05	54,54
2021-06-14 11:39:00	22,03	54,54
2021-06-14 11:49:00	22,01	54,80
2021-06-14 11:59:00	21,16	41,78
2021-06-14 12:09:00	18,88	34,88
2021-06-14 12:19:00	16,88	29,62
2021-06-14 12:29:00	15,39	31,73
2021-06-14 12:39:00	14,45	35,38
2021-06-14 12:49:00	13,82	40,06
2021-06-14 12:59:00	13,37	44,99
2021-06-14 13:09:00	12,97	45,23
2021-06-14 13:19:00	12,19	39,81
2021-06-14 13:29:00	11,32	36,36
2021-06-14 13:39:00	10,85	40,31
2021-06-14 13:49:00	10,57	43,26
2021-06-14 13:59:00	10,43	46,01
2021-06-14 14:09:00	10,36	49,11
2021-06-14 14:19:00	10,23	48,60
2021-06-14 14:29:00	9,76	43,51
2021-06-14 14:39:00	9,19	42,77
2021-06-14 14:49:00	8,94	45,75
2021-06-14 14:59:00	8,84	48,08
2021-06-14 15:09:00	8,83	50,40
2021-06-14 15:19:00	8,86	53,51
2021-06-14 15:29:00	10,20	93,68
2021-06-14 15:39:00	12,48	91,62
2021-06-14 15:49:00	13,99	89,56
2021-06-14 15:59:00	15,08	84,07
2021-06-14 16:09:00	15,92	80,97
2021-06-14 16:19:00	16,61	78,14
2021-06-14 16:29:00	17,18	76,16
2021-06-14 16:39:00	17,66	74,47
2021-06-14 16:49:00	18,07	72,77
2021-06-14 16:59:00	18,42	71,40
2021-06-14 17:09:00	18,73	70,59
2021-06-14 17:19:00	19,00	69,51
2021-06-14 17:29:00	19,23	68,97
2021-06-14 17:39:00	19,44	68,15
2021-06-14 17:49:00	19,62	67,61
2021-06-14 17:59:00	19,78	66,80
2021-06-14 18:09:00	19,94	66,53
2021-06-14 18:19:00	20,07	65,72
2021-06-14 18:29:00	20,22	64,91
2021-06-14 18:39:00	20,30	64,10
2021-06-14 18:49:00	20,39	63,28
2021-06-14 18:59:00	20,46	62,47
2021-06-14 19:09:00	20,53	61,93
2021-06-14 19:19:00	20,59	61,12
2021-06-14 19:29:00	20,64	60,58
2021-06-14 19:39:00	20,68	60,04
2021-06-14 19:49:00	20,72	59,50
2021-06-14 19:59:00	20,75	58,96
2021-06-14 20:09:00	20,77	58,16
2021-06-14 20:19:00	20,79	57,64
2021-06-14 20:29:00	20,81	57,38
2021-06-14 20:39:00	20,83	56,87
2021-06-14 20:49:00	20,84	56,87
2021-06-14 20:59:00	20,85	56,09
2021-06-14 21:09:00	20,85	55,57
2021-06-14 21:19:00	20,85	54,54
2021-06-14 21:29:00	20,84	53,76
2021-06-14 21:39:00	20,84	52,99
