Code,Year,DOY,HHMM,TIMESTAMP,wd,ws_min,ws,ws_max,Ta,RH,P,Rain,Hail,K_down_SPN1,K_diff_SPN1,L_down,K_down_Knz,RH_QC,P_QC,Ta_QC,ws_QC,ws_max_QC,ws_min_QC,wd_QC,K_down_KnZ
25722,2021,213,0000,2021-08-01 00:00:00,254.4,5.056,5.48,5.901,15.7,71.28,987,0,0,4.105,2.835,364.91,-20.88,0,0,0,0,0,0,0,
25723,2021,213,0010,2021-08-01 00:10:00,256.3,5.005,5.508,6.008,15.67,71.85,987,0,0,5.349,4.053,364.47,-20.25,0,0,0,0,0,0,0,
25724,2021,213,0020,2021-08-01 00:20:00,252.3,5.39,5.884,6.364,15.48,72.78,987,0.003,0,5.187,3.906,365.66,-16.38,0,0,0,0,0,0,0,
25725,2021,213,0030,2021-08-01 00:30:00,251.9,5.771,6.355,6.879,15.5,69.51,987,0,0,2.639,1.483,328,-55.64,0,0,0,0,0,0,0,
25726,2021,213,0040,2021-08-01 00:40:00,250,5.207,5.675,6.134,15.51,70.12,987,0,0,2.706,1.577,362.84,-21.34,0,0,0,0,0,0,0,
25727,2021,213,0050,2021-08-01 00:50:00,244.9,5.838,6.352,6.822,15.5,69.67,987,0,0,3.815,2.528,324.23,-59.95,0,0,0,0,0,0,0,
25728,2021,213,0100,2021-08-01 01:00:00,250.7,6.444,7.003,7.556,15.5,67.5,987,0,0,2.671,1.483,354.94,-29.24,0,0,0,0,0,0,0,
25729,2021,213,0110,2021-08-01 01:10:00,248.8,6.501,7.123,7.692,15.53,66.42,987,0,0,3.399,2.124,347.64,-37.08,0,0,0,0,0,0,0,
25730,2021,213,0120,2021-08-01 01:20:00,251,6.664,7.231,7.77,15.58,65.45,987,0,0,3.68,2.358,344.57,-40.15,0,0,0,0,0,0,0,
25731,2021,213,0130,2021-08-01 01:30:00,250.2,6.633,7.198,7.813,15.58,65.36,987,0,0,3.411,2.175,349.78,-34.94,0,0,0,0,0,0,0,
25732,2021,213,0140,2021-08-01 01:40:00,257,6.243,6.885,7.531,15.58,64.43,987,0,0,3.669,2.448,338.49,-46.23,0,0,0,0,0,0,0,
25733,2021,213,0150,2021-08-01 01:50:00,250.4,5.996,6.529,7.043,15.48,66.15,987,0,0,3.917,2.71,336.91,-47.27,0,0,0,0,0,0,0,
25734,2021,213,0200,2021-08-01 02:00:00,246.1,6.673,7.277,7.833,15.48,68.14,987,0,0,3.663,2.4,341.16,-43.02,0,0,0,0,0,0,0,
25735,2021,213,0210,2021-08-01 02:10:00,247.4,6.591,7.272,7.962,15.4,68.24,987,0,0,3.957,2.68,326.66,-56.98,0,0,0,0,0,0,0,
25736,2021,213,0220,2021-08-01 02:20:00,248.4,5.534,6.101,6.647,15.32,67.23,987,0,0,4.176,2.912,313.23,-69.88,0,0,0,0,0,0,0,
25737,2021,213,0230,2021-08-01 02:30:00,253.1,7.659,8.31,8.93,15.38,64.36,987,0,0,2.989,1.791,308.45,-74.66,0,0,0,0,0,0,0,
25738,2021,213,0240,2021-08-01 02:40:00,259.8,5.453,5.965,6.498,15.5,63.26,987,0,0,3.203,2.002,334.14,-49.5,0,0,0,0,0,0,0,
25739,2021,213,0250,2021-08-01 02:50:00,267.3,5.151,5.741,6.342,15.43,62.54,987,0,0,3.849,2.635,323.15,-60.49,0,0,0,0,0,0,0,
25740,2021,213,0300,2021-08-01 03:00:00,266.5,5.742,6.331,6.92,15.36,60.63,987,0,0,3.91,2.705,321.32,-61.79,0,0,0,0,0,0,0,
25741,2021,213,0310,2021-08-01 03:10:00,268.3,6.207,6.863,7.519,15.3,60.86,987,0,0,4.204,2.94,291.87,-90.7,0,0,0,0,0,0,0,
25742,2021,213,0320,2021-08-01 03:20:00,273.8,6.523,7.269,8,15.18,59.99,987,0,0,4.085,2.773,286.34,-95.7,0,0,0,0,0,0,0,
25743,2021,213,0330,2021-08-01 03:30:00,266,5.132,5.699,6.241,15.1,60.43,987,0,0,4.068,2.769,284.71,-96.8,0,0,0,0,0,0,0,
25744,2021,213,0340,2021-08-01 03:40:00,271.3,5.912,6.746,7.577,15,60.35,987,0,0,3.893,2.728,285.24,-95.2,0,0,0,0,0,0,0,
25745,2021,213,0350,2021-08-01 03:50:00,264.3,5.823,6.501,7.245,15,60.34,987,0,0,4.044,2.765,285.14,-95.3,0,0,0,0,0,0,0,
25746,2021,213,0400,2021-08-01 04:00:00,268.4,6.407,7.071,7.697,15,59.96,987,0,0,4.656,3.449,293.14,-87.3,0,0,0,0,0,0,0,
25747,2021,213,0410,2021-08-01 04:10:00,260,5.497,5.952,6.425,14.91,59.98,987,0,0,5.618,4.358,316.94,-63.5,0,0,0,0,0,0,0,
25748,2021,213,0420,2021-08-01 04:20:00,267.3,5.979,6.596,7.219,15,60.33,987,0,0,7.242,5.966,327.59,-53.92,0,0,0,0,0,0,0,
25749,2021,213,0430,2021-08-01 04:30:00,266.7,5.347,5.903,6.472,14.98,61.74,987,0,0,8.77,7.49,339.64,-41.87,0,0,0,0,0,0,0,
25750,2021,213,0440,2021-08-01 04:40:00,274.1,5.987,6.749,7.496,15,60.52,987,0,0,12.58,11.12,332.26,-49.25,0,0,0,0,0,0,0,
25751,2021,213,0450,2021-08-01 04:50:00,276.4,5.696,6.327,6.928,15,60.43,987,0,0,17.79,16.17,332.15,-49.36,0,0,0,0,0,0,0,
25752,2021,213,0500,2021-08-01 05:00:00,275,6.726,7.352,7.964,14.96,60.57,987,0,0,22.87,20.53,336,-45.51,0,0,0,0,0,0,0,
25753,2021,213,0510,2021-08-01 05:10:00,270,5.425,6.022,6.625,14.9,61.09,987,0,0,19.8,18.27,353.91,-27.6,0,0,0,0,0,0,0,
25754,2021,213,0520,2021-08-01 05:20:00,260.2,5.83,6.424,7.019,14.9,61.97,987,0,0,19.85,18.06,357.73,-23.78,0,0,0,0,0,0,0,
25755,2021,213,0530,2021-08-01 05:30:00,266.4,5.908,6.509,7.092,14.83,62.62,987,0,0,22.75,20.94,355.1,-26.41,0,0,0,0,0,0,0,
25756,2021,213,0540,2021-08-01 05:40:00,268.9,5.256,5.779,6.273,14.8,63.77,987,0,0,28.82,27.03,356.07,-24.91,0,0,0,0,0,0,0,
25757,2021,213,0550,2021-08-01 05:50:00,273.5,5.64,6.287,6.902,14.8,63.39,987,0,0,40.18,36.71,347.2,-33.78,0,0,0,0,0,0,0,
25758,2021,213,0600,2021-08-01 06:00:00,278.3,6.066,6.72,7.37,14.8,63.85,987,0,0,63.14,58.65,343.88,-37.1,0,0,0,0,0,0,0,
