,Ta,RH
2021-06-30 00:00:00,14.52,90.23
2021-06-30 00:10:00,14.46,91.99
2021-06-30 00:20:00,14.41,91.99
2021-06-30 00:30:00,14.35,92.28
2021-06-30 00:40:00,14.34,92.58
2021-06-30 00:50:00,14.3,92.58
2021-06-30 01:00:00,14.2,91.99
2021-06-30 01:10:00,14.04,92.28
2021-06-30 01:20:00,13.87,92.58
2021-06-30 01:30:00,13.75,92.87
2021-06-30 01:40:00,13.68,92.87
2021-06-30 01:50:00,13.62,93.16
2021-06-30 02:00:00,13.57,93.16
2021-06-30 02:10:00,13.53,93.75
2021-06-30 02:20:00,13.5,93.75
2021-06-30 02:30:00,13.46,94.04
2021-06-30 02:40:00,13.42,94.34
2021-06-30 02:50:00,13.38,94.34
2021-06-30 03:00:00,13.36,94.63
2021-06-30 03:10:00,13.38,95.51
2021-06-30 03:20:00,13.41,94.92
2021-06-30 03:30:00,13.43,94.63
2021-06-30 03:40:00,13.42,94.63
2021-06-30 03:50:00,13.39,94.04
2021-06-30 04:00:00,13.37,93.75
2021-06-30 04:10:00,13.33,93.75
2021-06-30 04:20:00,13.28,94.34
2021-06-30 04:30:00,13.27,94.92
2021-06-30 04:40:00,13.32,94.92
2021-06-30 04:50:00,13.36,94.92
2021-06-30 05:00:00,13.36,94.34
2021-06-30 05:10:00,13.36,94.04
2021-06-30 05:20:00,13.39,94.34
2021-06-30 05:30:00,13.42,93.75
2021-06-30 05:40:00,13.47,94.04
2021-06-30 05:50:00,13.56,94.04
2021-06-30 06:00:00,13.7,93.16
2021-06-30 06:10:00,13.87,92.58
2021-06-30 06:20:00,14.04,91.11
2021-06-30 06:30:00,14.18,90.53
2021-06-30 06:40:00,14.32,89.06
2021-06-30 06:50:00,14.49,87.6
2021-06-30 07:00:00,14.75,84.97
2021-06-30 07:10:00,15.11,81.89
2021-06-30 07:20:00,15.93,79.65
2021-06-30 07:30:00,16.23,76.02
2021-06-30 07:40:00,16.75,74.62
2021-06-30 07:50:00,17.26,73.78
2021-06-30 08:00:00,17.5,73.22
2021-06-30 08:10:00,17.76,73.78
2021-06-30 08:20:00,18.06,71.82
2021-06-30 08:30:00,18.1,72.94
2021-06-30 08:40:00,18.17,73.78
2021-06-30 08:50:00,18.2,73.22
2021-06-30 09:00:00,18.34,73.22
2021-06-30 09:10:00,18.62,73.22
2021-06-30 09:20:00,18.75,71.54
2021-06-30 09:30:00,18.97,73.22
2021-06-30 09:40:00,19.43,71.82
2021-06-30 09:50:00,19.82,71.26
2021-06-30 10:00:00,20.21,69.11
2021-06-30 10:10:00,20.71,66.18
2021-06-30 10:20:00,21.08,65.38
2021-06-30 10:30:00,21.46,63.52
2021-06-30 10:40:00,21.65,64.85
2021-06-30 10:50:00,21.95,60.59
2021-06-30 11:00:00,22.21,62.72
2021-06-30 11:10:00,22.6,62.45
2021-06-30 11:20:00,22.28,65.92
2021-06-30 11:30:00,22.17,61.66
2021-06-30 11:40:00,21.83,65.38
2021-06-30 11:50:00,22.06,63.79
2021-06-30 12:00:00,22.5,58.46
2021-06-30 12:10:00,22.6,57.13
2021-06-30 12:20:00,22.69,57.66
2021-06-30 12:30:00,22.82,58.19
2021-06-30 12:40:00,22.78,56.88
2021-06-30 12:50:00,22.72,56.88
2021-06-30 13:00:00,22.76,57.13
2021-06-30 13:10:00,22.7,56.12
2021-06-30 13:20:00,22.51,59.79
2021-06-30 13:30:00,22.37,59.79
