Time;Temperature;Humidity
[Red 1/1];°C;%RH
2022-05-06 13:14;24.04;33.33
2022-05-06 13:24;24;33.59
2022-05-06 13:34;23.93;33.84
2022-05-06 13:44;23.85;33.59
2022-05-06 13:54;23.79;33.84
2022-05-06 14:04;23.77;34.34
2022-05-06 14:14;23.72;34.59
2022-05-06 14:24;23.68;34.84
2022-05-06 14:34;23.66;34.84
2022-05-06 14:44;23.67;35.09
2022-05-06 14:54;23.64;35.09
2022-05-06 15:04;23.61;35.35
2022-05-06 15:14;23.62;35.09
2022-05-06 15:24;23.51;35.6
2022-05-06 15:34;23.39;35.85
2022-05-06 15:44;23.28;36.86
2022-05-06 15:54;23.13;37.36
2022-05-06 16:04;22.93;37.86
2022-05-06 16:14;22.82;38.11
2022-05-06 16:24;22.69;38.62
2022-05-06 16:34;22.58;39.12
2022-05-06 16:44;22.5;39.12
2022-05-06 16:54;22.41;39.62
2022-05-06 17:04;22.35;39.87
2022-05-06 17:14;22.28;39.87
2022-05-06 17:24;22.22;40.63
2022-05-06 17:34;22.18;40.12
2022-05-06 17:44;22.15;40.63
2022-05-06 17:54;22.11;40.63
2022-05-06 18:04;22.08;40.38
2022-05-06 18:14;22.06;40.88
2022-05-06 18:24;22.04;40.88
2022-05-06 18:34;22.03;40.63
2022-05-06 18:44;21.99;40.63
2022-05-06 18:54;21.95;40.88
2022-05-06 19:04;21.92;40.88
2022-05-06 19:14;21.89;41.13
2022-05-06 19:24;21.86;41.63
2022-05-06 19:34;21.83;41.88
2022-05-06 19:44;21.81;41.88
2022-05-06 19:54;21.79;41.88
2022-05-06 20:04;21.77;42.39
2022-05-06 20:14;21.75;42.39
2022-05-06 20:24;21.73;42.39
2022-05-06 20:34;21.71;42.89
2022-05-06 20:44;21.69;42.64
2022-05-06 20:54;21.68;42.89
2022-05-06 21:04;21.67;42.89
2022-05-06 21:14;21.66;42.89
2022-05-06 21:24;21.65;43.14
2022-05-06 21:34;21.64;42.64
2022-05-06 21:44;21.67;42.39
2022-05-06 21:54;21.7;41.88
2022-05-06 22:04;21.73;41.38
2022-05-06 22:14;21.76;40.88
2022-05-06 22:24;21.78;40.88
2022-05-06 22:34;21.8;40.38
2022-05-06 22:44;21.82;40.12
2022-05-06 22:54;21.83;40.12
2022-05-06 23:04;21.85;39.87
2022-05-06 23:14;21.86;39.62
2022-05-06 23:24;21.87;39.37
2022-05-06 23:34;21.88;39.37
2022-05-06 23:44;21.89;39.12
2022-05-06 23:54;21.89;39.12
2022-05-07 00:04;21.9;38.87
2022-05-07 00:14;21.9;38.87
2022-05-07 00:24;21.91;38.62
2022-05-07 00:34;21.91;38.62
2022-05-07 00:44;21.91;38.62
2022-05-07 00:54;21.92;38.36
2022-05-07 01:04;21.92;38.36
2022-05-07 01:14;21.92;38.36
2022-05-07 01:24;21.92;38.11
2022-05-07 01:34;21.92;38.11
2022-05-07 01:44;21.92;37.86
2022-05-07 01:54;21.92;37.86
2022-05-07 02:04;21.92;37.86
2022-05-07 02:14;21.93;37.86
2022-05-07 02:24;21.92;37.61
2022-05-07 02:34;21.92;37.61
2022-05-07 02:44;21.92;37.61
2022-05-07 02:54;21.92;37.36
2022-05-07 03:04;21.92;37.36
2022-05-07 03:14;21.91;37.61
2022-05-07 03:24;21.92;37.61
2022-05-07 03:34;21.91;37.36
2022-05-07 03:44;21.91;37.36
2022-05-07 03:54;21.91;37.36
2022-05-07 04:04;21.9;37.36
2022-05-07 04:14;21.9;37.11
2022-05-07 04:24;21.9;37.11
2022-05-07 04:34;21.9;37.36
2022-05-07 04:44;21.9;37.36
2022-05-07 04:54;21.89;37.11
2022-05-07 05:04;21.89;37.11
2022-05-07 05:14;21.89;37.11
2022-05-07 05:24;21.89;37.11
2022-05-07 05:34;21.89;37.11
2022-05-07 05:44;21.9;37.11
2022-05-07 05:54;21.9;37.11
2022-05-07 06:04;21.91;37.11
2022-05-07 06:14;21.91;37.11
2022-05-07 06:24;21.92;37.11
2022-05-07 06:34;21.93;36.86
2022-05-07 06:44;21.94;36.86
2022-05-07 06:54;21.96;36.86
2022-05-07 07:04;21.98;36.86
2022-05-07 07:14;21.98;36.86
2022-05-07 07:24;22.01;36.6
2022-05-07 07:34;22.03;36.6
2022-05-07 07:44;22.04;37.36
2022-05-07 07:54;21.99;38.11
2022-05-07 08:04;21.99;38.11
2022-05-07 08:14;21.95;38.36
2022-05-07 08:24;21.94;38.62
2022-05-07 08:34;21.98;38.62
