Time;Temperature;Humidity
[Red 1/1];°C;%RH
2022-05-06 12:57;23.94;33.82
2022-05-06 13:07;23.88;34.31
2022-05-06 13:17;23.77;34.55
2022-05-06 13:27;23.72;34.8
2022-05-06 13:37;23.68;34.8
2022-05-06 13:47;23.64;34.8
2022-05-06 13:57;23.62;35.04
2022-05-06 14:07;23.61;35.29
2022-05-06 14:17;23.59;35.53
2022-05-06 14:27;23.57;35.77
2022-05-06 14:37;23.56;35.77
2022-05-06 14:47;23.57;35.77
2022-05-06 14:57;23.56;35.53
2022-05-06 15:07;23.56;36.02
2022-05-06 15:17;23.52;36.26
2022-05-06 15:27;23.34;36.51
2022-05-06 15:37;23.24;36.99
2022-05-06 15:47;23.12;37.73
2022-05-06 15:57;22.95;38.21
2022-05-06 16:07;22.81;38.94
2022-05-06 16:17;22.69;39.19
2022-05-06 16:27;22.57;39.68
2022-05-06 16:37;22.46;39.92
2022-05-06 16:47;22.4;40.16
2022-05-06 16:57;22.32;40.41
2022-05-06 17:07;22.28;40.65
2022-05-06 17:17;22.22;40.65
2022-05-06 17:27;22.15;40.65
2022-05-06 17:37;22.13;40.9
2022-05-06 17:47;22.1;41.14
2022-05-06 17:57;22.07;41.14
2022-05-06 18:07;22.06;40.9
2022-05-06 18:17;22.04;41.38
2022-05-06 18:27;22.02;41.14
2022-05-06 18:37;21.99;41.14
2022-05-06 18:47;21.97;41.38
2022-05-06 18:57;21.94;41.38
2022-05-06 19:07;21.92;41.63
2022-05-06 19:17;21.89;42.12
2022-05-06 19:27;21.86;42.12
2022-05-06 19:37;21.84;42.12
2022-05-06 19:47;21.83;42.36
2022-05-06 19:57;21.8;42.85
2022-05-06 20:07;21.79;42.6
2022-05-06 20:17;21.78;42.6
2022-05-06 20:27;21.76;42.85
2022-05-06 20:37;21.73;43.09
2022-05-06 20:47;21.72;43.09
2022-05-06 20:57;21.71;43.33
2022-05-06 21:07;21.71;43.33
2022-05-06 21:17;21.7;43.58
2022-05-06 21:27;21.68;43.33
2022-05-06 21:37;21.69;42.85
2022-05-06 21:47;21.73;42.6
2022-05-06 21:57;21.77;41.87
2022-05-06 22:07;21.79;41.63
2022-05-06 22:17;21.82;41.38
2022-05-06 22:27;21.85;40.9
2022-05-06 22:37;21.87;40.9
2022-05-06 22:47;21.88;40.41
2022-05-06 22:57;21.9;40.41
2022-05-06 23:07;21.91;40.16
2022-05-06 23:17;21.92;39.92
2022-05-06 23:27;21.93;39.68
2022-05-06 23:37;21.94;39.68
2022-05-06 23:47;21.95;39.43
2022-05-06 23:57;21.95;39.43
2022-05-07 00:07;21.96;39.19
2022-05-07 00:17;21.96;39.19
2022-05-07 00:27;21.97;38.94
2022-05-07 00:37;21.97;38.94
2022-05-07 00:47;21.97;38.7
2022-05-07 00:57;21.97;38.7
2022-05-07 01:07;21.98;38.46
2022-05-07 01:17;21.98;38.7
2022-05-07 01:27;21.98;38.46
2022-05-07 01:37;21.98;38.46
2022-05-07 01:47;21.98;38.46
2022-05-07 01:57;21.98;38.21
2022-05-07 02:07;21.99;38.21
2022-05-07 02:17;21.98;38.21
2022-05-07 02:27;21.98;38.21
2022-05-07 02:37;21.98;37.97
2022-05-07 02:47;21.98;37.97
2022-05-07 02:57;21.98;37.97
2022-05-07 03:07;21.98;37.73
2022-05-07 03:17;21.98;37.97
2022-05-07 03:27;21.97;37.97
2022-05-07 03:37;21.97;37.73
2022-05-07 03:47;21.97;37.73
2022-05-07 03:57;21.97;37.73
2022-05-07 04:07;21.97;37.73
2022-05-07 04:17;21.97;37.73
2022-05-07 04:27;21.96;37.48
2022-05-07 04:37;21.96;37.48
2022-05-07 04:47;21.96;37.73
2022-05-07 04:57;21.96;37.73
2022-05-07 05:07;21.96;37.73
2022-05-07 05:17;21.96;37.48
2022-05-07 05:27;21.96;37.48
2022-05-07 05:37;21.96;37.48
2022-05-07 05:47;21.96;37.48
2022-05-07 05:57;21.96;37.48
