Time;Temperature;Humidity;;
[Red 1/1];°C;%RH;;
2022-05-06 12:47;23.93;33.5;;
2022-05-06 12:57;23.88;33.75;;
2022-05-06 13:07;23.77;33.99;;
2022-05-06 13:17;23.69;34.48;;
2022-05-06 13:27;23.62;34.72;;
2022-05-06 13:37;23.52;34.72;;
2022-05-06 13:47;23.47;34.72;;
2022-05-06 13:57;23.47;34.96;;
2022-05-06 14:07;23.5;35.21;;
2022-05-06 14:17;23.51;35.21;;
2022-05-06 14:27;23.5;35.45;;
2022-05-06 14:37;23.51;35.69;;
2022-05-06 14:47;23.5;35.69;;
2022-05-06 14:57;23.48;35.45;;
2022-05-06 15:07;23.48;35.69;;
2022-05-06 15:17;23.48;35.94;;
2022-05-06 15:27;23.29;36.42;;
2022-05-06 15:37;23.24;36.67;;
2022-05-06 15:47;23.18;37.15;;
2022-05-06 15:57;22.99;37.89;;
2022-05-06 16:07;22.81;38.37;;
2022-05-06 16:17;22.68;38.86;;
2022-05-06 16:27;22.55;39.35;;
2022-05-06 16:37;22.42;39.59;;
2022-05-06 16:47;22.35;39.83;;
2022-05-06 16:57;22.29;40.08;;
2022-05-06 17:07;22.22;40.56;;
2022-05-06 17:17;22.16;40.56;;
2022-05-06 17:27;22.11;40.56;;
2022-05-06 17:37;22.08;40.56;;
2022-05-06 17:47;22.07;40.81;;
2022-05-06 17:57;22.03;40.81;;
2022-05-06 18:07;22.04;40.81;;
2022-05-06 18:17;22.01;41.05;;
2022-05-06 18:27;21.99;40.81;;
2022-05-06 18:37;21.95;41.05;;
2022-05-06 18:47;21.9;41.3;;
2022-05-06 18:57;21.85;41.3;;
2022-05-06 19:07;21.83;41.3;;
2022-05-06 19:17;21.8;41.78;;
2022-05-06 19:27;21.78;41.78;;
2022-05-06 19:37;21.77;42.03;;
2022-05-06 19:47;21.74;42.27;;
2022-05-06 19:57;21.71;42.51;;
2022-05-06 20:07;21.7;42.51;;
2022-05-06 20:17;21.68;42.51;;
2022-05-06 20:27;21.66;43;;
2022-05-06 20:37;21.63;43;;
2022-05-06 20:47;21.62;43;;
2022-05-06 20:57;21.61;43.24;;
2022-05-06 21:07;21.6;43.24;;
2022-05-06 21:17;21.6;43.24;;
2022-05-06 21:27;21.58;43.49;;
2022-05-06 21:37;21.6;42.76;;
2022-05-06 21:47;21.66;42.27;;
2022-05-06 21:57;21.7;41.78;;
2022-05-06 22:07;21.73;41.3;;
2022-05-06 22:17;21.76;41.3;;
2022-05-06 22:27;21.78;40.81;;
2022-05-06 22:37;21.8;40.56;;
2022-05-06 22:47;21.82;40.32;;
2022-05-06 22:57;21.83;40.08;;
2022-05-06 23:07;21.85;40.08;;
2022-05-06 23:17;21.86;39.83;;
2022-05-06 23:27;21.87;39.83;;
2022-05-06 23:37;21.88;39.35;;
2022-05-06 23:47;21.88;39.35;;
2022-05-06 23:57;21.89;39.35;;
2022-05-07 00:07;21.89;39.1;;
2022-05-07 00:17;21.89;39.1;;
2022-05-07 00:27;21.9;39.1;;
2022-05-07 00:37;21.9;38.86;;
2022-05-07 00:47;21.89;38.86;;
2022-05-07 00:57;21.89;38.62;;
2022-05-07 01:07;21.89;38.62;;
2022-05-07 01:17;21.89;38.62;;
2022-05-07 01:27;21.9;38.37;;
2022-05-07 01:37;21.89;38.37;;
2022-05-07 01:47;21.89;38.37;;
2022-05-07 01:57;21.89;38.13;;
2022-05-07 02:07;21.89;38.13;;
2022-05-07 02:17;21.89;38.13;;
2022-05-07 02:27;21.89;38.13;;
2022-05-07 02:37;21.89;38.13;;
2022-05-07 02:47;21.88;38.13;;
2022-05-07 02:57;21.88;37.89;;
2022-05-07 03:07;21.88;37.89;;
2022-05-07 03:17;21.87;37.89;;
2022-05-07 03:27;21.88;37.89;;
2022-05-07 03:37;21.87;37.89;;
2022-05-07 03:47;21.87;37.89;;
2022-05-07 03:57;21.86;37.64;;
2022-05-07 04:07;21.86;37.89;;
2022-05-07 04:17;21.86;37.64;;
2022-05-07 04:27;21.85;37.64;;
2022-05-07 04:37;21.85;37.64;;
2022-05-07 04:47;21.85;37.64;;
2022-05-07 04:57;21.85;37.4;;
2022-05-07 05:07;21.84;37.64;;
2022-05-07 05:17;21.84;37.64;;
2022-05-07 05:27;21.84;37.64;;
2022-05-07 05:37;21.84;37.64;;
2022-05-07 05:47;21.85;37.4;;
2022-05-07 05:57;21.86;37.4;;
2022-05-07 06:07;21.87;37.4;;
2022-05-07 06:17;21.87;37.4;;
2022-05-07 06:27;21.89;37.4;;
2022-05-07 06:37;21.92;37.4;;
2022-05-07 06:47;21.94;37.15;;
2022-05-07 06:57;21.96;37.15;;
2022-05-07 07:07;21.97;36.91;;
2022-05-07 07:17;22;36.91;;
2022-05-07 07:27;22.03;36.91;;
2022-05-07 07:37;22.05;37.15;;
2022-05-07 07:47;22.03;38.13;;
2022-05-07 07:57;21.96;38.62;;
2022-05-07 08:07;21.97;38.62;;
2022-05-07 08:17;21.94;38.62;;
2022-05-07 08:27;21.97;38.62;;
2022-05-07 08:37;21.99;38.62;;
2022-05-07 08:47;22;38.86;;
2022-05-07 08:57;22.04;38.86;;
2022-05-07 09:07;22.1;38.86;;
2022-05-07 09:17;22.1;39.1;;
2022-05-07 09:27;22.05;39.1;;
2022-05-07 09:37;22.04;39.1;;
2022-05-07 09:47;22.16;38.62;;
2022-05-07 09:57;22.18;38.37;;
2022-05-07 10:07;22.08;39.1;;
2022-05-07 10:17;22.12;38.86;;
2022-05-07 10:27;22.17;39.1;;
2022-05-07 10:37;22.26;38.86;;
2022-05-07 10:47;22.21;38.86;;
2022-05-07 10:57;22.32;38.62;;
2022-05-07 11:07;22.51;37.89;;
2022-05-07 11:17;22.54;38.13;;
2022-05-07 11:27;22.57;38.13;;
2022-05-07 11:37;22.65;37.64;;
2022-05-07 11:47;22.58;38.13;;
2022-05-07 11:57;22.52;37.89;;
2022-05-07 12:07;22.47;38.13;;
2022-05-07 12:17;22.48;37.89;;
2022-05-07 12:27;22.41;37.64;;
2022-05-07 12:37;22.38;37.64;;
2022-05-07 12:47;22.36;37.4;;
2022-05-07 12:57;22.38;37.15;;
2022-05-07 13:07;22.31;36.91;;
2022-05-07 13:17;22.26;36.67;;
2022-05-07 13:27;22.2;36.42;;
2022-05-07 13:37;22.14;36.18;;
2022-05-07 13:47;22.1;35.94;;
2022-05-07 13:57;22.06;35.69;;
2022-05-07 14:07;22.02;35.69;;
2022-05-07 14:17;21.98;35.45;;
2022-05-07 14:27;21.95;35.21;;
2022-05-07 14:37;21.97;34.72;;
2022-05-07 14:47;21.98;34.72;;
2022-05-07 14:57;21.94;34.72;;
2022-05-07 15:07;21.9;33.75;;
2022-05-07 15:17;21.87;32.08;;
2022-05-07 15:27;21.88;30.69;;
2022-05-07 15:37;21.89;29.29;;
2022-05-07 15:47;21.87;28.82;;
2022-05-07 15:57;21.84;28.13;;
2022-05-07 16:07;21.81;26.96;;
2022-05-07 16:17;21.76;26.73;;
2022-05-07 16:27;21.74;26.26;;
2022-05-07 16:37;21.73;26.5;;
2022-05-07 16:47;21.71;26.26;;
2022-05-07 16:57;21.7;25.8;;
2022-05-07 17:07;21.67;25.8;;
2022-05-07 17:17;21.65;25.57;;
2022-05-07 17:27;21.62;26.03;;
2022-05-07 17:37;21.61;26.03;;
2022-05-07 17:47;21.59;26.26;;
2022-05-07 17:57;21.56;26.26;;
2022-05-07 18:07;21.54;25.8;;
2022-05-07 18:17;21.53;25.33;;
2022-05-07 18:27;21.51;25.33;;
2022-05-07 18:37;21.48;26.03;;
2022-05-07 18:47;21.46;25.8;;
2022-05-07 18:57;21.43;27.19;;
2022-05-07 19:07;21.41;28.36;;
2022-05-07 19:17;21.39;28.13;;
2022-05-07 19:27;21.36;26.96;;
2022-05-07 19:37;21.39;27.19;;
2022-05-07 19:47;21.46;27.19;;
2022-05-07 19:57;21.49;27.66;;
2022-05-07 20:07;21.5;27.89;;
2022-05-07 20:17;21.51;28.13;;
2022-05-07 20:27;21.52;28.36;;
2022-05-07 20:37;21.52;28.36;;
2022-05-07 20:47;21.53;28.59;;
2022-05-07 20:57;21.52;28.82;;
2022-05-07 21:07;21.52;28.82;;
2022-05-07 21:17;21.52;28.82;;
2022-05-07 21:27;21.52;29.06;;
2022-05-07 21:37;21.53;29.06;;
2022-05-07 21:47;21.53;29.06;;
2022-05-07 21:57;21.53;29.06;;
2022-05-07 22:07;21.54;29.29;;
2022-05-07 22:17;21.54;29.52;;
2022-05-07 22:27;21.54;29.52;;
2022-05-07 22:37;21.54;29.52;;
2022-05-07 22:47;21.54;29.52;;
2022-05-07 22:57;21.55;29.52;;
2022-05-07 23:07;21.55;29.75;;
2022-05-07 23:17;21.55;29.75;;
2022-05-07 23:27;21.55;29.75;;
2022-05-07 23:37;21.55;29.99;;
2022-05-07 23:47;21.55;29.75;;
2022-05-07 23:57;21.55;29.99;;
2022-05-08 00:07;21.55;29.99;;
2022-05-08 00:17;21.55;30.22;;
2022-05-08 00:27;21.55;29.99;;
2022-05-08 00:37;21.55;30.22;;
2022-05-08 00:47;21.55;30.22;;
2022-05-08 00:57;21.55;30.22;;
2022-05-08 01:07;21.54;30.45;;
2022-05-08 01:17;21.55;30.22;;
2022-05-08 01:27;21.54;30.45;;
2022-05-08 01:37;21.54;30.45;;
2022-05-08 01:47;21.54;30.45;;
2022-05-08 01:57;21.54;30.69;;
2022-05-08 02:07;21.54;30.45;;
2022-05-08 02:17;21.53;30.45;;
2022-05-08 02:27;21.53;30.69;;
2022-05-08 02:37;21.52;30.69;;
2022-05-08 02:47;21.52;30.69;;
2022-05-08 02:57;21.51;30.69;;
2022-05-08 03:07;21.51;30.69;;
2022-05-08 03:17;21.51;30.69;;
2022-05-08 03:27;21.5;30.92;;
2022-05-08 03:37;21.5;30.92;;
2022-05-08 03:47;21.49;30.92;;
2022-05-08 03:57;21.49;30.92;;
2022-05-08 04:07;21.48;30.92;;
2022-05-08 04:17;21.48;30.92;;
2022-05-08 04:27;21.47;30.92;;
2022-05-08 04:37;21.47;31.15;;
2022-05-08 04:47;21.47;31.15;;
2022-05-08 04:57;21.46;30.92;;
2022-05-08 05:07;21.46;30.92;;
2022-05-08 05:17;21.47;30.92;;
2022-05-08 05:27;21.48;31.15;;
2022-05-08 05:37;21.51;31.15;;
2022-05-08 05:47;21.54;30.92;;
2022-05-08 05:57;21.6;30.92;;
2022-05-08 06:07;21.66;30.69;;
2022-05-08 06:17;21.73;30.69;;
2022-05-08 06:27;21.83;30.69;;
2022-05-08 06:37;21.87;30.45;;
2022-05-08 06:47;21.99;30.22;;
2022-05-08 06:57;22.78;28.82;;
2022-05-08 07:07;23.12;27.89;;
2022-05-08 07:17;23.13;28.82;;
2022-05-08 07:27;23.02;28.82;;
2022-05-08 07:37;23.05;28.36;;
2022-05-08 07:47;24.1;23.47;;
2022-05-08 07:57;27.04;19.59;;
2022-05-08 08:07;28.78;18.48;;
2022-05-08 08:17;29.67;17.59;;
2022-05-08 08:27;26.6;23.01;;
2022-05-08 08:37;25.1;23.94;;
2022-05-08 08:47;24.45;25.1;;
2022-05-08 08:57;24.04;26.03;;
2022-05-08 09:07;23.76;26.73;;
2022-05-08 09:17;23.52;26.73;;
2022-05-08 09:27;23.29;26.96;;
2022-05-08 09:37;23.14;26.73;;
2022-05-08 09:47;23.02;26.5;;
2022-05-08 09:57;22.9;26.26;;
2022-05-08 10:07;22.82;25.8;;
2022-05-08 10:17;22.72;25.8;;
2022-05-08 10:27;22.63;25.57;;
2022-05-08 10:37;22.55;25.1;;
2022-05-08 10:47;22.45;24.4;;
2022-05-08 10:57;22.36;24.4;;
2022-05-08 11:07;22.29;23.94;;
2022-05-08 11:17;22.22;23.24;;
2022-05-08 11:27;22.16;22.54;;
2022-05-08 11:37;22.11;22.31;;
2022-05-08 11:47;22.04;21.61;;
2022-05-08 11:57;21.95;21.61;;
2022-05-08 12:07;21.88;21.14;;
2022-05-08 12:17;21.83;20.92;;
2022-05-08 12:27;21.78;20.92;;
2022-05-08 12:37;21.73;20.7;;
2022-05-08 12:47;21.7;20.47;;
2022-05-08 12:57;21.67;20.47;;
2022-05-08 13:07;21.64;20.03;;
2022-05-08 13:17;21.62;19.36;;
2022-05-08 13:27;21.61;18.7;;
2022-05-08 13:37;21.59;18.25;;
2022-05-08 13:47;21.57;17.81;;
2022-05-08 13:57;21.54;17.37;;
2022-05-08 14:07;21.53;17.15;;
2022-05-08 14:17;21.51;17.15;;
2022-05-08 14:27;21.51;16.92;;
2022-05-08 14:37;21.49;16.92;;
2022-05-08 14:47;21.48;16.92;;
2022-05-08 14:57;21.48;17.15;;
2022-05-08 15:07;21.46;16.7;;
2022-05-08 15:17;21.45;16.92;;
2022-05-08 15:27;21.44;16.7;;
2022-05-08 15:37;21.42;17.15;;
2022-05-08 15:47;21.41;16.92;;
2022-05-08 15:57;21.4;16.7;;
2022-05-08 16:07;21.4;17.15;;
2022-05-08 16:17;21.4;17.15;;
2022-05-08 16:27;21.39;16.7;;
2022-05-08 16:37;21.38;16.7;;
2022-05-08 16:47;21.37;16.7;;
2022-05-08 16:57;21.35;16.48;;
2022-05-08 17:07;21.34;16.26;;
2022-05-08 17:17;21.33;16.04;;
2022-05-08 17:27;21.31;16.04;;
2022-05-08 17:37;21.29;16.04;;
2022-05-08 17:47;21.28;16.04;;
2022-05-08 17:57;21.26;16.04;;
2022-05-08 18:07;21.24;15.37;;
2022-05-08 18:17;21.22;15.37;;
2022-05-08 18:27;21.19;15.37;;
2022-05-08 18:37;21.17;15.37;;
2022-05-08 18:47;21.14;15.59;;
2022-05-08 18:57;21.11;15.81;;
2022-05-08 19:07;21.09;15.81;;
2022-05-08 19:17;21.07;15.81;;
2022-05-08 19:27;21.02;15.81;;
2022-05-08 19:37;21.03;16.26;;
2022-05-08 19:47;21.07;16.92;;
2022-05-08 19:57;21.11;17.15;;
2022-05-08 20:07;21.11;17.37;;
2022-05-08 20:17;21.12;17.81;;
2022-05-08 20:27;21.13;18.25;;
2022-05-08 20:37;21.13;18.25;;
2022-05-08 20:47;21.14;18.92;;
2022-05-08 20:57;21.14;18.92;;
2022-05-08 21:07;21.14;19.14;;
2022-05-08 21:17;21.14;19.36;;
2022-05-08 21:27;21.14;19.59;;
2022-05-08 21:37;21.15;19.81;;
2022-05-08 21:47;21.15;19.81;;
2022-05-08 21:57;21.16;19.81;;
2022-05-08 22:07;21.17;20.03;;
2022-05-08 22:17;21.17;20.03;;
2022-05-08 22:27;21.18;20.25;;
2022-05-08 22:37;21.19;20.25;;
2022-05-08 22:47;21.19;20.47;;
2022-05-08 22:57;21.2;20.47;;
2022-05-08 23:07;21.2;20.47;;
2022-05-08 23:17;21.21;20.7;;
2022-05-08 23:27;21.22;20.92;;
2022-05-08 23:37;21.22;20.7;;
2022-05-08 23:47;21.22;20.92;;
2022-05-08 23:57;21.23;20.92;;
2022-05-09 00:07;21.23;20.92;;
2022-05-09 00:17;21.24;21.14;;
2022-05-09 00:27;21.24;21.14;;
2022-05-09 00:37;21.24;21.14;;
2022-05-09 00:47;21.24;21.38;;
2022-05-09 00:57;21.25;21.38;;
2022-05-09 01:07;21.25;21.38;;
2022-05-09 01:17;21.25;21.38;;
2022-05-09 01:27;21.25;21.38;;
2022-05-09 01:37;21.25;21.61;;
2022-05-09 01:47;21.26;21.84;;
2022-05-09 01:57;21.25;21.61;;
2022-05-09 02:07;21.26;21.84;;
2022-05-09 02:17;21.26;21.84;;
2022-05-09 02:27;21.26;21.84;;
2022-05-09 02:37;21.26;21.84;;
2022-05-09 02:47;21.24;22.07;;
2022-05-09 02:57;21.28;22.07;;
2022-05-09 03:07;21.27;22.07;;
2022-05-09 03:17;21.27;22.31;;
2022-05-09 03:27;21.24;22.31;;
2022-05-09 03:37;21.26;22.31;;
2022-05-09 03:47;21.26;22.54;;
2022-05-09 03:57;21.26;22.54;;
2022-05-09 04:07;21.26;22.54;;
2022-05-09 04:17;21.27;22.54;;
2022-05-09 04:27;21.26;22.54;;
